                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6068,                 2.8059,                 5.4971,                 1.1439,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.3518,                 2.2684,                 5.0745,                 1.0095,              6.125e-05,              6.125e-05,              6.125e-05
                      2,                 1.2552,                 1.7516,                 4.8408,                0.90055,                0.03546,                0.22501,                0.05896,                0.04078,                 0.0357,                0.22458,                0.05888,                0.04345,                 1.2755,                  1.807,                 4.4601,                 0.8982,             0.00011195,             0.00011195,             0.00011195
                      3,                 1.1737,                 1.4862,                 4.1442,                0.87786,                0.05691,                0.62532,                0.09206,                0.06664,                0.05616,                0.62126,                0.09208,                0.06379,                 1.1629,                 1.7605,                 3.8492,                0.87125,             0.00015017,             0.00015017,             0.00015017
                      4,                 1.0944,                 1.3526,                  3.576,                0.85803,                0.04836,                0.77591,                 0.1092,                0.07957,                 0.0477,                 0.7657,                0.10822,                0.07244,                 1.1666,                 1.6581,                 3.4264,                0.89416,             0.00013287,             0.00013287,             0.00013287
                      5,                 1.0599,                 1.3204,                 3.2172,                0.85563,                0.12941,                0.18966,                 0.1526,                0.10497,                0.12942,                0.19009,                0.15209,                0.09483,                 1.1884,                 1.6995,                  3.182,                 0.8963,             0.00011416,             0.00011416,             0.00011416
                      6,                 1.0372,                 1.2693,                 2.9452,                0.85294,                0.15216,                0.21923,                0.18173,                0.12645,                0.15015,                0.21628,                0.18121,                0.11653,                 1.1841,                 1.6647,                  3.146,                0.90505,             9.5445e-05,             9.5445e-05,             9.5445e-05
                      7,                 1.0113,                 1.2256,                 2.7575,                0.84569,                0.16557,                0.26686,                 0.1904,                0.13219,                0.16438,                0.26355,                0.18886,                0.12564,                  1.193,                 1.6248,                 3.0967,                0.89215,             7.6734e-05,             7.6734e-05,             7.6734e-05
                      8,                0.97054,                 1.1903,                 2.6047,                0.83803,                0.17978,                0.26935,                0.20608,                0.14679,                0.17925,                0.26764,                0.20424,                 0.1353,                 1.1653,                  1.605,                  3.064,                0.88871,             5.8023e-05,             5.8023e-05,             5.8023e-05
                      9,                0.94473,                 1.1475,                  2.491,                0.83494,                 0.2306,                0.33487,                0.23128,                0.15611,                0.23151,                0.32612,                0.22803,                0.14495,                 1.1769,                 1.5937,                 3.0988,                0.88826,             3.9312e-05,             3.9312e-05,             3.9312e-05
                     10,                0.95229,                 1.1702,                 2.4262,                0.83722,                0.24616,                0.33787,                0.23661,                0.16238,                0.24506,                0.33089,                0.23235,                0.15264,                 1.1475,                 1.5895,                 3.1067,                0.88289,             2.0601e-05,             2.0601e-05,             2.0601e-05
